Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"959.720.640,40","959.720.640,40","959.720.640,40"
2025-10,"1.004.278.272,04","1.004.278.272,04","1.004.278.272,04"
2025-11,"1.331.094.834,95","1.331.094.834,95","1.331.094.834,95"
2025-12,"1.456.344.126,21","1.456.344.126,21","1.456.344.126,21"
2026-01,"1.401.680.578,73","1.401.680.578,73","1.401.680.578,73"
2026-02,"1.478.796.465,42","1.478.796.465,42","1.478.796.465,42"
2026-03,"1.174.612.258,72","1.174.612.258,72","1.174.612.258,72"
2026-04,"1.230.557.035,34","1.230.557.035,34","1.230.557.035,34"
2026-05,"1.472.188.418,09","1.472.188.418,09","1.472.188.418,09"
2026-06,"1.468.153.709,96","1.468.153.709,96","1.468.153.709,96"
2026-07,"964.196.998,93","964.196.998,93","964.196.998,93"
2026-08,"1.267.442.546,23","1.267.442.546,23","1.267.442.546,23"
