Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"22.133.612,53","104.760.179,20","330.653.392,42"
2025-10,"28.931.954,39","104.760.179,20","331.517.310,83"
2025-11,"115.648.739,48","104.760.179,20","334.025.542,85"
2025-12,"111.203.018,70","104.760.179,20","336.110.058,32"
2026-01,"138.143.481,31","104.760.179,20","336.208.400,97"
2026-02,"81.549.956,76","104.760.179,20","336.134.963,08"
2026-03,"46.032.075,37","104.760.179,20","336.784.758,07"
2026-04,"66.360.888,60","104.760.179,20","339.403.958,90"
2026-05,"54.563.881,47","104.760.179,20","344.298.314,08"
2026-06,"35.734.958,51","104.760.179,20","350.230.513,54"
2026-07,"41.640.483,80","104.760.179,20","355.833.108,41"
2026-08,"28.311.644,60","104.760.179,20","362.151.277,76"
