Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"4.478.930.442,43","4.378.795.969,64","4.461.581.404,92"
2025-10,"4.375.273.780,12","4.306.521.261,11","4.484.107.651,68"
2025-11,"4.530.858.400,56","4.390.474.368,61","4.493.966.929,55"
2025-12,"4.598.981.661,28","4.387.678.880,19","4.496.221.511,44"
2026-01,"4.591.035.157,13","4.368.484.620,83","4.495.700.239,68"
2026-02,"4.284.093.449,57","4.302.899.190,38","4.494.772.258,53"
2026-03,"4.321.678.363,90","4.316.518.748,00","4.495.508.106,35"
2026-04,"4.641.841.971,71","4.536.753.159,06","4.497.611.460,72"
2026-05,"4.325.538.812,93","4.331.661.704,08","4.500.112.847,50"
2026-06,"4.335.022.143,53","4.336.511.361,25","4.500.385.161,43"
2026-07,"4.546.097.668,18","4.293.271.452,87","4.500.017.987,78"
2026-08,"4.464.370.108,15","4.355.955.836,62","4.500.093.405,82"
