Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"152.853.319,11","149.159.054,50","145.788.832,34"
2025-10,"163.433.484,96","157.296.286,54","153.945.425,53"
2025-11,"201.471.175,05","195.249.444,89","214.711.389,58"
2025-12,"217.184.905,77","214.532.481,36","215.837.888,09"
2026-01,"201.182.974,38","200.898.556,36","216.010.920,04"
2026-02,"265.862.660,29","269.634.138,68","213.766.017,23"
2026-03,"178.718.367,26","182.715.961,65","179.407.800,99"
2026-04,"184.077.427,98","185.662.240,56","206.364.868,92"
2026-05,"219.736.835,42","224.270.544,48","215.896.747,41"
2026-06,"222.826.440,53","236.568.034,28","216.037.865,11"
2026-07,"147.690.231,18","155.920.620,68","146.807.199,22"
2026-08,"192.181.640,47","198.365.866,79","185.781.757,37"
