Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"4.215.000.805,40","4.220.263.783,65","4.197.734.154,39"
2025-10,"4.231.968.432,27","4.288.346.844,96","4.198.379.151,04"
2025-11,"4.226.147.337,07","4.269.391.754,77","4.199.428.469,88"
2025-12,"4.543.228.024,31","4.417.591.685,65","4.200.652.660,11"
2026-01,"4.314.978.886,26","4.355.142.613,59","4.200.642.251,10"
2026-02,"4.213.019.147,80","4.442.679.824,94","4.200.730.591,93"
2026-03,"4.212.750.879,25","4.400.767.597,54","4.200.520.510,93"
2026-04,"4.326.213.515,38","4.490.715.440,27","4.200.889.895,05"
2026-05,"4.265.909.694,67","4.464.144.326,61","4.201.084.860,36"
2026-06,"4.257.633.009,95","4.548.546.103,94","4.201.333.952,52"
2026-07,"4.265.650.561,90","4.498.837.565,04","4.201.195.195,88"
2026-08,"4.300.388.327,67","4.590.866.314,25","4.201.515.069,32"
