Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"2.196.311.623,12","2.200.967.180,66","2.254.744.756,35"
2025-10,"2.132.732.388,10","2.142.149.879,73","2.263.284.078,84"
2025-11,"2.382.233.555,85","2.316.623.916,51","2.287.008.768,88"
2025-12,"2.123.648.593,82","2.191.303.600,37","2.279.585.938,37"
2026-01,"2.293.755.764,60","2.237.352.579,07","2.272.161.977,94"
2026-02,"1.977.865.552,58","2.062.349.028,60","2.209.043.293,03"
2026-03,"1.978.941.917,77","2.052.238.565,47","2.168.853.370,60"
2026-04,"2.111.870.101,38","2.115.732.822,73","2.238.680.977,20"
2026-05,"2.083.747.436,00","2.106.882.656,53","2.221.611.172,18"
2026-06,"2.224.602.211,01","2.191.826.456,35","2.277.235.908,21"
2026-07,"2.283.467.044,33","2.275.995.108,56","2.289.789.962,48"
2026-08,"2.235.412.231,24","2.235.103.924,38","2.281.694.897,19"
