Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"65.024.752,32","58.573.589,84","75.375.211,84"
2025-10,"65.016.404,88","57.676.588,04","75.389.479,32"
2025-11,"62.462.214,50","53.699.420,62","75.407.114,72"
2025-12,"63.130.641,48","49.903.911,65","75.380.924,51"
2026-01,"62.554.380,20","47.985.315,64","75.317.016,91"
2026-02,"62.350.895,44","47.989.802,83","75.323.001,95"
2026-03,"63.205.541,38","49.041.829,01","75.328.124,89"
2026-04,"63.176.915,59","50.172.860,00","75.331.459,65"
2026-05,"64.888.669,36","50.817.254,09","75.326.258,56"
2026-06,"64.557.081,83","50.894.211,31","75.321.190,10"
2026-07,"64.540.452,39","50.625.409,37","75.326.433,82"
2026-08,"64.689.981,71","50.293.791,10","75.339.948,14"
