Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"1.789.549.283,62","1.815.846.834,70","1.759.819.260,19"
2025-10,"1.785.433.797,91","1.832.684.522,02","1.760.838.077,52"
2025-11,"1.804.128.402,71","1.872.495.780,94","1.765.164.959,95"
2025-12,"1.995.840.570,15","1.941.980.133,46","1.770.719.327,65"
2026-01,"1.933.084.325,45","1.953.427.807,93","1.769.966.272,52"
2026-02,"1.748.078.257,28","1.919.736.216,39","1.766.165.976,82"
2026-03,"1.823.689.318,06","1.868.585.094,29","1.762.964.507,04"
2026-04,"1.847.418.761,50","1.911.187.769,57","1.763.899.508,66"
2026-05,"1.862.648.419,03","1.917.661.247,83","1.763.752.084,29"
2026-06,"1.846.901.397,13","1.934.088.081,64","1.765.873.451,68"
2026-07,"1.845.989.850,08","1.947.662.713,58","1.766.349.085,11"
2026-08,"1.858.699.312,36","1.971.357.632,53","1.767.057.203,40"
